location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.15605823894585577,0.2850805167524036,0.4927694111207726,521,951.7405183556731,1645.1093189831247,0.16,0.29,0.49,520,950,1600,wk inc covid hosp,hosp,2026-06-27,2026-06-27,2026-06-24,"June 27, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
United States,1,0.12339633480600216,0.33182522777472145,0.5862667719323915,411.95832317595415,1107.797607088279,1957.2499999999986,0.12,0.33,0.59,410,1100,2000,wk inc covid hosp,hosp,2026-07-04,2026-06-27,2026-06-24,"July 04, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
United States,2,0.09319668398324368,0.3520155640224598,0.8426345826575565,311.13687225521124,1175.2029889260255,2813.1332285308044,0.09,0.35,0.84,310,1200,2800,wk inc covid hosp,hosp,2026-07-11,2026-06-27,2026-06-24,"July 11, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,4.1443403053681676e-4,9.915879273306653e-4,0.001646890320243933,NA,NA,NA,4.1e-4,9.9e-4,0.0016,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-27,2026-06-24,"June 27, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,4.7061101243108704e-4,0.0011133668315339343,0.002073299071025291,NA,NA,NA,4.7e-4,0.0011,0.0021,wk inc covid prop ed visits,prop_ed,2026-07-04,2026-06-27,2026-06-24,"July 04, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,4.211536384855924e-4,0.001054577369768793,0.002513870021503257,NA,NA,NA,4.2e-4,0.0011,0.0025,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-06-27,2026-06-24,"July 11, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
Alabama,0,0.2854435573744869,0.5983488318759452,1.0534941804917979,14.550088570619721,30.5,53.70040149365852,0.29,0.6,1.05,10,30,50,wk inc covid hosp,hosp,2026-06-27,2026-06-27,2026-06-24,"June 27, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
Alabama,1,0.2368786970968724,0.5885398346320773,1.1641696248547646,12.074562323124105,30,59.341928431193075,0.24,0.59,1.16,10,30,60,wk inc covid hosp,hosp,2026-07-04,2026-06-27,2026-06-24,"July 04, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
Alabama,2,0.215797939365095,0.6670118125830209,1.3055544211542325,11,34,66.5488218976916,0.22,0.67,1.31,10,30,70,wk inc covid hosp,hosp,2026-07-11,2026-06-27,2026-06-24,"July 11, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,5.367696644757536e-4,0.0012155576904114736,0.002110232013035436,NA,NA,NA,5.4e-4,0.0012,0.0021,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-27,2026-06-24,"June 27, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
Alabama,1,NA,NA,NA,5.299138085576539e-4,0.0012692743362720323,0.0025342797511542117,NA,NA,NA,5.3e-4,0.0013,0.0025,wk inc covid prop ed visits,prop_ed,2026-07-04,2026-06-27,2026-06-24,"July 04, 2026","June 24, 2026","June 27, 2026",CovidHub-ensemble
